country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Australia,0,0,249,30,0,0,7140,90,0,0,0,0,0,0,258,6500,540,114,0,6930,0
Brazil,213k,12.5k,3000,187k,2200,10.3k,0,0,3040,3150,13k,30k,8500,43.2k,67.5k,0,0,0,300,0,0
Canada,700,30,0,0,0,0,0,0,0,0,0,7000,0,0,0,36,0,0,0,0,0
China,410k,854k,2350,1.81M,684k,281k,631k,69.9k,414k,158k,357k,308k,48.6k,153k,491k,96.2k,85.5k,81.2k,4000,819,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,15k,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,,,,,,,,,,,,,,,
France,200,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0
UK,0,0,0,0,0,0,0,30k,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,90,0,0,0,0,0,0,3740,0,325,0,0,0,0,0,0,0,0,0,0,0
India,252k,1.79M,5200,236k,105k,464k,4.15M,0,2.4M,4000,907k,325k,0,0,650k,54.1k,2M,60.1k,223k,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,9500,0,0,0,0,0,0,60k,0,0,14.7k,0,1000,0,0,0,0,0,0
Japan,312,12,0,219,5800,0,99,40.7k,0,0,0,0,0,0,150,0,24k,300,0,0,0
Kenya,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,1000,0,0,120,0
South Korea,4140,0,0,15k,3080,1840,0,600,0,0,0,2000,0,0,0,0,0,0,0,0,0
Mexico,0,800,0,3000,0,300k,0,30k,0,0,0,40k,4000,0,0,741,3000,1600,120,3000,0
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,500,5000,2500,2320,5M,5600,0,0,0,0,0,0,0,0,134k,7360,0,0,0,695
Peru,50,125k,0,3950,70,0,325,0,0,150,1000,1710,51.4k,5250,2700,0,40,0,1300,0,0
Philippines,125k,100k,3000,83.2k,8700,0,0,0,54.6k,110,0,0,35.8k,0,0,3300,0,53.6k,0,342k,705
Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portugal,60,200,60,0,0,0,0,0,38,0,0,0,0,46,0,0,462,2700,0,0,
Russia,19.1k,400,1620,1800,1000,0,0,7500,0,0,1200,0,5750,0,0,0,0,0,0,0,
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Ukraine,0,0,0,0,0,0,0,1270,0,0,0,0,0,2000,0,0,0,0,0,0,0
USA,6370,75.9k,3410,16.1k,1040,1540,267,1130,300,1330,0,32.1k,1310,8250,180,12.8k,8380,109k,3240,444,0
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,11.9k,23.1k,0,18.9k,0,18.2k,353k,47.5k,12.7k,109k,1620,0,297k,2450,0,115,6780,1140,0,765,2930
