country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1.48M,1.55M,1.62M,1.69M,1.76M,1.83M,1.89M,1.96M,2.03M,2.1M,2.17M,2.22M,2.27M,2.32M,2.37M,2.42M,2.42M,2.4M,2.39M,2.39M
Brazil,3.65M,4.02M,4.39M,4.76M,5.12M,5.49M,5.86M,6.23M,6.59M,6.96M,7.33M,7.85M,8.37M,8.89M,9.42M,9.94M,10M,9.84M,10.5M,10.9M
Canada,9.39M,9.85M,10.3M,10.8M,11.2M,11.7M,12.2M,12.6M,13.1M,13.6M,14M,14.4M,14.8M,15.2M,15.6M,16M,16.5M,16.9M,17.3M,17.7M
China,54.8M,56.7M,58.5M,60.4M,62.2M,64.1M,65.9M,67.8M,69.6M,71.5M,73.3M,74.5M,75.6M,76.7M,77.9M,79M,80.2M,81.4M,82.5M,83.6M
Germany,5.68M,5.68M,5.68M,5.69M,5.69M,5.69M,5.69M,5.7M,5.7M,5.7M,5.7M,5.71M,5.71M,5.71M,5.71M,5.71M,5.71M,5.71M,5.71M,5.71M
Egypt,59.2k,59.9k,60.5k,61.1k,61.8k,62.4k,63.1k,63.7k,64.4k,65k,65.6k,62.2k,58.8k,55.3k,51.9k,48.4k,45k,45k,45k,45k
Spain,2.39M,2.41M,2.43M,2.45M,2.47M,2.49M,2.51M,2.53M,2.56M,2.58M,2.6M,2.6M,2.61M,2.61M,2.61M,2.62M,2.58M,2.59M,2.59M,2.59M
Finland,5.14M,5.32M,5.5M,5.67M,5.85M,6.03M,6.2M,6.38M,6.56M,6.73M,6.91M,7M,7.09M,7.18M,7.28M,7.37M,7.37M,7.37M,7.37M,7.37M
France,1.59M,1.63M,1.68M,1.73M,1.78M,1.83M,1.88M,1.93M,1.98M,2.02M,2.07M,2.11M,2.15M,2.19M,2.22M,2.26M,2.29M,2.33M,2.36M,2.4M
UK,2.61M,2.62M,2.63M,2.64M,2.65M,2.66M,2.67M,2.68M,2.69M,2.7M,2.71M,2.73M,2.75M,2.77M,2.79M,2.81M,2.81M,2.82M,2.83M,2.84M
Greece,129k,130k,131k,132k,133k,134k,135k,136k,137k,138k,139k,139k,139k,139k,139k,139k,139k,139k,139k,139k
India,9.37M,9.71M,10.1M,10.4M,10.7M,11.1M,11.4M,11.8M,12.1M,12.4M,12.8M,12.8M,12.9M,12.9M,13M,13M,13.1M,13.1M,13.2M,13.2M
Ireland,549k,558k,567k,576k,585k,594k,603k,612k,621k,631k,640k,643k,647k,651k,654k,658k,660k,662k,666k,670k
Israel,88k,88k,88k,88k,88k,88k,88k,88k,88k,88k,88k,88.2k,88.4k,88.6k,88.8k,89k,85k,85k,85k,85k
Italy,596k,599k,603k,607k,611k,615k,619k,623k,627k,630k,634k,635k,636k,637k,639k,640k,641k,642k,643k,644k
Japan,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.3M,10.2M,10.2M,10.2M,10.2M,10.2M,10.2M,10.2M
Kenya,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k,153k
South Korea,2.07M,2.09M,2.1M,2.12M,2.14M,2.15M,2.17M,2.19M,2.2M,2.22M,2.24M,2.24M,2.25M,2.26M,2.27M,2.28M,2.28M,2.27M,2.27M,2.27M
Mexico,39.8k,42.4k,45.1k,47.8k,50.5k,53.1k,55.8k,58.5k,61.2k,63.8k,66.5k,70k,73.5k,76.9k,80.4k,83.9k,87.2k,90.5k,93.8k,97.1k
Norway,115k,115k,115k,115k,115k,115k,115k,115k,115k,115k,115k,114k,112k,111k,109k,108k,108k,108k,108k,108k
Pakistan,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k,254k
Peru,715k,741k,766k,792k,817k,843k,868k,893k,919k,944k,970k,987k,1M,1.02M,1.04M,1.06M,1.06M,1.07M,1.08M,1.08M
Philippines,321k,324k,327k,330k,333k,336k,339k,342k,345k,348k,351k,354k,357k,360k,363k,366k,369k,372k,375k,378k
Poland,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M,7.37M
Portugal,2.27M,2.26M,2.26M,2.25M,2.25M,2.25M,2.24M,2.24M,2.23M,2.23M,2.22M,2.23M,2.24M,2.24M,2.25M,2.26M,2.26M,2.26M,2.26M,2.26M
Russia,15.4M,15.8M,16.2M,16.6M,17.1M,17.5M,17.9M,18.3M,18.8M,19.2M,19.6M,19.7M,19.7M,19.7M,19.8M,19.8M,19.4M,18.9M,18.9M,18.9M
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,4.7M,4.71M,4.72M,4.73M,4.74M,4.76M,4.77M,4.78M,4.79M,4.8M,4.82M,4.83M,4.84M,4.85M,4.86M,4.87M,4.85M,4.85M,4.85M,4.85M
USA,22.6M,22.9M,23.2M,23.5M,23.8M,24.1M,24.4M,24.7M,25M,25.3M,25.6M,25.7M,25.9M,26M,26.2M,26.4M,26.4M,27.5M,27.5M,27.5M
Vietnam,1.92M,2.04M,2.15M,2.27M,2.39M,2.5M,2.62M,2.73M,2.85M,2.97M,3.08M,3.24M,3.4M,3.57M,3.73M,3.89M,4.14M,4.18M,4.24M,4.29M
